Identifier	Synonym
Cre38.g759997	
Cre08.g363350	
Cre08.g379050	
Cre08.g364751	
Cre08.g372000	
Cre08.g378150	GLD2
Cre08.g358567	
Cre08.g373352	
Cre08.g360700	
Cre08.g374850	
Cre08.g358459	
Cre08.g361063	
Cre08.g367700	
Cre08.g375200	
Cre08.g368550	
Cre08.g383450	
Cre08.g378601	
Cre08.g371200	
Cre08.g384850	
Cre08.g361925	
Cre08.g367000	
Cre08.g373436	
Cre08.g358534	
Cre08.g370250	
Cre08.g358582	
Cre08.g363283	
Cre08.g362400	
Cre08.g382350	EZY14
Cre08.g369600	MFT2
Cre08.g376650	CSR5
Cre08.g366550	
Cre08.g384355	
Cre08.g359051	
Cre08.g378100	
Cre08.g359800	
Cre08.g382476	
Cre08.g371533	
Cre08.g366650	
Cre08.g377800	
Cre08.g370116	
Cre08.g375676	
Cre08.g374100	
Cre08.g371500	
Cre08.g383702	
Cre08.g365851	
Cre08.g383250	
Cre08.g369300	PFH16
Cre08.g379400	
Cre08.g380452	
Cre08.g360250	DUR3B
Cre08.g366450	
Cre08.g362900	PSBP4
Cre08.g366950	
Cre08.g373358	
Cre08.g358540	
Cre08.g373361	
Cre08.g365300	FAP359
Cre08.g363600	
Cre08.g375800	
Cre08.g369451	
Cre08.g385850	CDKC1
Cre08.g375650	
Cre08.g382530	
Cre08.g368450	
Cre08.g374750	
Cre08.g360200	DUR3A
Cre08.g360950	
Cre08.g381250	
Cre08.g373450	SBE4
Cre08.g373347	
Cre08.g364800	
Cre08.g364351	
Cre08.g374436	
Cre08.g364650	
Cre08.g379950	PFH17
Cre08.g385750	CHK1
Cre08.g359500	
Cre08.g381483	
Cre08.g361700	
Cre08.g377150	
Cre08.g360564	ERM3
Cre08.g358556	RPS29
Cre08.g382825	
Cre08.g385900	
Cre08.g378450	
Cre08.g376200	
Cre08.g358544	
Cre08.g378250	
Cre08.g368700	
Cre08.g371350	
Cre08.g379650	TIC20
Cre08.g368950	DHQS
Cre08.g381450	OPR35
Cre08.g358563	
Cre08.g359100	
Cre08.g363267	
Cre08.g383800	
Cre08.g374150	
Cre08.g373350	
Cre08.g359550	
Cre08.g382605	
Cre08.g379800	
Cre08.g368176	
Cre08.g368400	NTR1
Cre08.g383300	
Cre08.g371450	COPZ1
Cre08.g364450	NAT1
Cre08.g377650	
Cre08.g376700	MRCE1
Cre08.g371150	
Cre08.g371400	CPL16
Cre08.g366750	
Cre08.g366150	ATG16
Cre08.g384800	
Cre08.g364700	
Cre08.g370200	
Cre08.g358541	
Cre08.g364400	
Cre08.g367550	FAP291
Cre08.g358700	
Cre08.g358565	
Cre08.g385550	
Cre08.g373000	
Cre08.g373650	
Cre08.g371566	
Cre08.g379200	CPLD18
Cre08.g362350	
Cre08.g384100	
Cre08.g383200	
Cre08.g358350	TDA1
Cre08.g376150	CGL150
Cre08.g369800	DHS2
Cre08.g383850	
Cre08.g372150	
Cre08.g377500	
Cre08.g381750	
Cre08.g379100	
Cre08.g367900	
Cre08.g376550	DLR1
Cre08.g385500	AMA1
Cre08.g369200	
Cre08.g359400	
Cre08.g368500	
Cre08.g362682	
